stable_nodes_name;occurence
COMP;1
COX2_rna_M1_macrophage___nucleus;1
COX2_rna_M2_macrophage_nucleus;1
CPNE3_rna;1
CREB1_phosphorylated_Fibroblast___nucleus;1
CREB1_phosphorylated_TH1___nucleus;1
CRKL_phosphorylated_Fibroblast___Cytoplasm;1
CRKL_phosphorylated_M1_macrophage___Cytoplasm;1
CSF1_Fibroblast___secreted_components;1
CSF1_M2_macrophage__extracellular_space;1
CSF1_M2_macrophage__secreted_components;1
CSF1_rna;1
CSF1R;1
CSF1R_CSF1_complex;1
CSF2_Fibroblast___Extracellular_Space;1
CSF2_Fibroblast___secreted_components;1
CSF2_M1_macrophage___Extracellular_Space;1
CSF2_M1_macrophage___Secreted_components;1
CSF2RA_CSF2RB_complex_Fibroblast__Cytoplasmic_membrane_up;1
CSF2RA_CSF2RB_complex_M1_macrophage__Cytoplasmic_membrane_up;1
CSF2RA_CSF2RB_CSF2_complex;1
CSFR1R_IL34_complex;1
CSK;1
CSL;1
CTF1;1
CTNNB1_M2_macrophage_nucleus;1
CTNNB1_TCF_LEF_complex;1
CTSK_rna;1
CXCL1_CXCR1_complex;1
CXCL1_Fibroblast___secreted_components;1
CXCL1_M1_macrophage___Extracellular_Space;1
CXCL1_M1_macrophage___Secreted_components;1
CXCL10_CXCR3_complex_Fibroblast__Cytoplasmic_membrane_up;1
CXCL10_CXCR3_complex_TH1___cytoplasmic_membrane_up;1
CXCL10_Fibroblast___Extracellular_Space;1
CXCL10_Fibroblast___secreted_components;1
CXCL10_M1_macrophage___Secreted_components;1
CXCL10_TH1___extracellular_space;1
CXCL10_TH1___secreted_components;1
CXCL11;1
CXCL12;1
CXCL13_ACKR4_complex_M1_macrophage__Cytoplasmic_membrane_up;1
CXCL13_ACKR4_complex_M2_macrophage__cytoplasmic_membrane_up;1
CXCL13_CXCR3_complex;1
CXCL13_Fibroblast___Extracellular_Space;1
CXCL13_M1_macrophage___Extracellular_Space;1
CXCL13_M2_macrophage__extracellular_space;1
CXCL13_TH1___secreted_components;1
CXCL16_CXCR6_complex;1
CXCL16_M1_macrophage___Secreted_components;1
CXCL16_M2_macrophage__secreted_components;1
CXCL16_TH1___extracellular_space;1
CXCL2;1
CXCL3;1
CXCL8_Fibroblast___Extracellular_Space;1
CXCL8_Fibroblast___secreted_components;1
CXCL9_Fibroblast___secreted_components;1
CXCL9_M1_macrophage___Secreted_components;1
CXCR1;1
CXCR1_IL8_complex_M1_macrophage__Cytoplasmic_membrane_up;1
