Names;Target_nodes
TGFBR2;TGFBR1_TGFBR2_complex,TGFBR1_TGFBR2_TGFB1_complex
AKT2;AKT2
CASP1;Casp1_M1_macrophage___Cytoplasm,Casp1_M2_macrophage__cytoplasm
CASP7;CASP7_M1_macrophage___Cytoplasm,CASP7_M2_macrophage__cytoplasm
NLRP3;NLRP3_INFLAMMASOME_complex_M1_macrophage___Cytoplasm,NLRP3_INFLAMMASOME_complex_M2_macrophage__cytoplasm,NLRP3_M1_macrophage___Cytoplasm,NLRP3_M2_macrophage__cytoplasm
IGF1R;IGF1_IGF1R_complex
PRKCD;PRKCD,Prkcd_M1_macrophage___Cytoplasm,Prkcd_M2_macrophage__cytoplasm
EPHB2;EPHB2
PTK2B;PTK2B_phosphorylated
BIRC2;cIAP1
XIAP;XIAP_M1_macrophage___Cytoplasm,XIAP_M2_macrophage__cytoplasm
MAP4K4;MAP4K4_phosphorylated
RIPK1;RIPK1,RIPK1_TRAF6_complex
PTK2;PTK2_M1_macrophage___Cytoplasm,PTK2_M2_macrophage__cytoplasm,PTK2_TH1___cytoplasm,PTK2B_phosphorylated
PPIA;CypA
TLR2;LY96_TLR2_4_complex,TLR1_TLR2_biglycan_complex,TLR1_TLR2_complex,TLR2_TLR6_biglycan_complex,TLR2_TLR6_complex
TLR4;TLR4_Md2_CD14_fibrinogen_complex
MIF;MIF_CD74_complex,MIF_CXCR4_complex,MIF_Fibroblast___Extracellular_Space,MIF_TH1___extracellular_space
CDC25B;CDC25B_C
FGF1;FGF1,FGF1_FGFR4_complex
PLA2G2A;PLA2G2A_phosphorylated
ITGAL;ICAM1_ITGB2_ITGAL_complex,ITGAL_ITGB2_complex
PRKCQ;PRKCQ_Fibroblast___Cytoplasm,PRKCQ_M1_macrophage___Cytoplasm,PRKCQ_M2_macrophage__cytoplasm,PRKCQ_TH1___cytoplasm
IL6R;IL6_IL6R_complex,IL6_IL6R_IL6ST_complex
IL6ST;IL11_IL11Ra_IL6ST_complex,IL11Ra_IL6ST_IL11_complex,IL6_IL6R_IL6ST_complex,IL6_IL6ST_complex,LIFR_IL6ST_CTF1_complex
TNF;TNF_Fibroblast___Extracellular_Space,TNF_M1_macrophage___Extracellular_Space,TNF_TH1___extracellular_space,TNF_TNFRSF1A_B_complex,TNF_TNFRSF1A_complex,TNF_TNFRSF1B_complex,TNFA,TNFA_rna
CXCL10;CXCL10_CXCR3_complex_Fibroblast__Cytoplasmic_membrane_up,CXCL10_CXCR3_complex_TH1___cytoplasmic_membrane_up,CXCL10_Fibroblast___Extracellular_Space,CXCL10_TH1___extracellular_space
SERPINE1;SERPINE1_rna
TP53;p53,p53_phosphorylated_M1_macrophage___Cytoplasm,p53_phosphorylated_M2_macrophage__cytoplasm,p53_phosphorylated_M2_macrophage_nucleus,TP53_phosphorylated
CASP9;CASP9_Fibroblast___Cytoplasm,CASP9_M1_macrophage___Cytoplasm,CASP9_M2_macrophage__cytoplasm
DUSP1;DUSP1_M1_macrophage___Cytoplasm,DUSP1_M2_macrophage__cytoplasm
JUN;c_JUN,c_JUN_phosphorylated_M1_macrophage___Cytoplasm,c_JUN_phosphorylated_M1_macrophage___nucleus,JUN_phosphorylated
NFKB1;IKBA_NFKB1_RELA_complex,NFKB1_Fibroblast___Cytoplasm,NFKB1_M1_macrophage___Cytoplasm,NFKB1_M2_macrophage__cytoplasm,NFKB1_MAP3K8_complex,NFKB1_RELA_complex,NFKB1_RELA_NFKBIA_complex,NFKB1_TPL2_complex_M1_macrophage___Cytoplasm,NFKB1_TPL2_complex_M2_macrophage__cytoplasm,NFKBIA_RELA_NFKB1_complex_M1_macrophage___Cytoplasm,NFKBIA_RELA_NFKB1_complex_M2_macrophage__cytoplasm,RELA_NFKB1_complex_M1_macrophage___Cytoplasm,RELA_NFKB1_complex_M1_macrophage___nucleus,RELA_NFKB1_complex_M2_macrophage__cytoplasm,RELA_NFKB1_complex_M2_macrophage_nucleus,RELA_NFKB1_NFKBIE_complex_Fibroblast___Cytoplasm,RELA_NFKB1_NFKBIE_complex_M1_macrophage___Cytoplasm,RELA_NFKB1_NFKBIE_complex_M2_macrophage__cytoplasm
NFKB2;NFKB2_RELB_complex
RELA;IKBA_NFKB1_RELA_complex,NFKB1_RELA_complex,NFKB1_RELA_NFKBIA_complex,NFKBIA_RELA_NFKB1_complex_M1_macrophage___Cytoplasm,NFKBIA_RELA_NFKB1_complex_M2_macrophage__cytoplasm,RELA_NFKB1_complex_M1_macrophage___Cytoplasm,RELA_NFKB1_complex_M1_macrophage___nucleus,RELA_NFKB1_complex_M2_macrophage__cytoplasm,RELA_NFKB1_complex_M2_macrophage_nucleus,RELA_NFKB1_NFKBIE_complex_Fibroblast___Cytoplasm,RELA_NFKB1_NFKBIE_complex_M1_macrophage___Cytoplasm,RELA_NFKB1_NFKBIE_complex_M2_macrophage__cytoplasm
RELB;NFKB2_RELB_complex
CCND1;CCND1_rna
ITGAV;FN1_ITGAV_complex
MAP2K1;MAP2K1_phosphorylated_Fibroblast___Cytoplasm,MAP2K1_phosphorylated_TH1___cytoplasm,MEK1_phosphorylated_M1_macrophage___Cytoplasm,MEK1_phosphorylated_M2_macrophage__cytoplasm
CXCR1;CXCR1,CXCR1_IL8_complex_M1_macrophage__Cytoplasmic_membrane_up,CXCR1_IL8_complex_M2_macrophage__cytoplasmic_membrane_up
ITGB2;CD40LG_ITGAM_ITGB2_complex,ICAM1_ITGB2_ITGAL_complex,ITGAL_ITGB2_complex,ITGAM_ITGB2_complex
MAPK3;MAPK3_complex,MAPK3_phosphorylated,ERK1_phosphorylated_M1_macrophage___Cytoplasm,ERK1_phosphorylated_M2_macrophage__cytoplasm
ITGB1;CD40LG_ITGB1_ITGA1_complex_M1_macrophage__Cytoplasmic_membrane_up,CD40LG_ITGB1_ITGA1_complex_M2_macrophage__cytoplasmic_membrane_up,ITGA4_ITGB1_col4a3_complex,ITGA4_ITGB1_complex,ITGA4_ITGB1_sema7a_complex,ITGA5_ITGB1_col4a5_complex,ITGA5_ITGB1_complex,ITGB1_ITGA1_col4a_complex_M1_macrophage__Cytoplasmic_membrane_up,ITGB1_ITGA1_col4a_complex_M2_macrophage__cytoplasmic_membrane_up,ITGB1_ITGA1_complex_M1_macrophage__Cytoplasmic_membrane_up,ITGB1_ITGA1_complex_M2_macrophage__cytoplasmic_membrane_up
HIF1A;Hif1a
ITGA5;ITGA5_ITGB1_col4a5_complex,ITGA5_ITGB1_complex
ADAMTS4;ADAMTS4
CXCL8;CXCL8_Fibroblast___Extracellular_Space,CXCR2_CXCL8_complex
MYC;cMyc,cMyc_phosphorylated_M2_macrophage__cytoplasm,cMyc_phosphorylated_M2_macrophage_nucleus,c_Myc_rna_M1_macrophage___nucleus,c_Myc_rna_M2_macrophage_nucleus,cMyc,cMyc_phosphorylated_M2_macrophage__cytoplasm,cMyc_phosphorylated_M2_macrophage_nucleus
PTPRC;NECTIN3_PTPRC_NECTIN1_complex
STAT3;HOMODIMER_space_STAT3,STAT3_Fibroblast___Cytoplasm,STAT3_Fibroblast___nucleus,STAT3_M1_macrophage___Cytoplasm,STAT3_M2_macrophage__cytoplasm,STAT3_STAT3_complex_M1_macrophage___nucleus,STAT3_STAT3_complex_M2_macrophage_nucleus
