Barcodes	Graph-based clusters	Total count	Total expressed feature	Cluster	Sample ID	Cell type	Diagnosis	Plate	Sample pathology	BioTuring - Anatomy	BioTuring - Cell type	Graph-based clusters (Fibroblast)	Cell class	Graph-based clusters (Monocyte)	Graph-based clusters (T cell)	Graph-based clusters (B cell)
S020_L8Q4_P08	Cluster 8	33632.9152	5052	SC-F4	301-0132	Fibroblast	Osteoarthritis	S020	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S020_L8Q4_P10	Cluster 6	33204.7095	4931	SC-F3	301-0132	Fibroblast	Osteoarthritis	S020	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 1	DKK3+ sublining fibroblast	Unassigned	Unassigned	Unassigned
S020_L8Q4_P12	Cluster 8	35106.0585	5309	SC-F4	301-0132	Fibroblast	Osteoarthritis	S020	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 2	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S020_L8Q4_P14	Cluster 8	38203.5643	6077	SC-F4	301-0132	Fibroblast	Osteoarthritis	S020	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 14	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S020_L8Q4_P16	Cluster 8	33586.7458	5180	SC-F4	301-0132	Fibroblast	Osteoarthritis	S020	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 14	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S020_L8Q4_P20	Cluster 8	36087.6406	5585	SC-F4	301-0132	Fibroblast	Osteoarthritis	S020	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 14	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S020_L8Q4_P22	Cluster 6	33578.0341	4911	SC-F3	301-0132	Fibroblast	Osteoarthritis	S020	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 3	DKK3+ sublining fibroblast	Unassigned	Unassigned	Unassigned
S020_L8Q4_P24	Cluster 8	34549.2167	5341	SC-F4	301-0132	Fibroblast	Osteoarthritis	S020	Osteoarthritis	Synovial tissue [BTA000256]	fibroblast [BTC000049]	Cluster 14	CD55+ lining fibroblast	Unassigned	Unassigned	Unassigned
S022_L1Q1_A03	Cluster 1	14772.8438	1773	SC-B1	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 1
S022_L1Q1_A05	Cluster 1	12864.4957	1516	SC-B1	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 1
S022_L1Q1_A09	Cluster 9	20196.8108	2684	SC-B4	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	plasmablast [BTC000206]	Unassigned	plasmablast	Unassigned	Unassigned	Cluster 2
S022_L1Q1_A11	Cluster 1	14444.186	1752	SC-B2	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 5
S022_L1Q1_A13	Cluster 9	24132.8495	3545	SC-B4	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	plasmablast [BTC000206]	Unassigned	plasmablast	Unassigned	Unassigned	Cluster 2
S022_L1Q1_A15	Cluster 1	10317.5767	1116	SC-B2	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 1
S022_L1Q1_A17	Cluster 1	13255.9724	1531	SC-B1	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 1
S022_L1Q1_A19	Cluster 1	15962.6163	1950	SC-B1	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 1
S022_L1Q1_A21	Cluster 1	16263.52	1998	SC-B1	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 1
S022_L1Q1_C01	Cluster 1	12012.417	1420	SC-B2	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 3
S022_L1Q1_C09	Cluster 1	11127.0304	1253	SC-B2	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 3
S022_L1Q1_C11	Cluster 9	19443.7737	2639	SC-B4	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	plasmablast [BTC000206]	Unassigned	plasmablast	Unassigned	Unassigned	Cluster 2
S022_L1Q1_C15	Cluster 1	14148.2735	1678	SC-B2	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 1
S022_L1Q1_C19	Cluster 1	14903.5811	1816	SC-B1	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 1
S022_L1Q1_C23	Cluster 9	21288.2944	2918	SC-B4	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	plasmablast [BTC000206]	Unassigned	plasmablast	Unassigned	Unassigned	Cluster 2
S022_L1Q1_E03	Cluster 1	17163.2458	2113	SC-B1	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 1
S022_L1Q1_E05	Cluster 9	17029.9791	2165	SC-B4	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	plasmablast [BTC000206]	Unassigned	plasmablast	Unassigned	Unassigned	Cluster 2
S022_L1Q1_E09	Cluster 1	14735.4359	1765	SC-B1	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 1
S022_L1Q1_E19	Cluster 1	14581.7316	1751	SC-B2	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 1
S022_L1Q1_E21	Cluster 9	27841.083	4002	SC-B4	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	plasmablast [BTC000206]	Unassigned	plasmablast	Unassigned	Unassigned	Cluster 2
S022_L1Q1_E23	Cluster 1	16277.4999	1980	SC-B1	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 1
S022_L1Q1_G01	Cluster 5	10469.8699	1148	SC-T4	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 6	Unassigned
S022_L1Q1_G03	Cluster 5	16176.2119	1949	SC-T6	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+GZMB+ T  cell	Unassigned	Cluster 6	Unassigned
S022_L1Q1_G05	Cluster 5	13478.2955	1547	SC-T6	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+GZMB+ T  cell	Unassigned	Cluster 6	Unassigned
S022_L1Q1_G09	Cluster 15	26060.9246	3593	SC-T6	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+GZMB+ T  cell	Unassigned	Cluster 10	Unassigned
S022_L1Q1_G11	Cluster 5	12156.4729	1401	SC-T4	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 2	Unassigned
S022_L1Q1_G13	Cluster 5	14598.8831	1718	SC-T4	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 1	Unassigned
S022_L1Q1_G15	Cluster 3	12948.6199	1524	SC-T1	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S022_L1Q1_G17	Cluster 5	18693.2836	2366	SC-T4	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S022_L1Q1_G19	Cluster 5	11969.7947	1361	SC-T6	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+GZMB+ T  cell	Unassigned	Cluster 6	Unassigned
S022_L1Q1_G21	Cluster 5	19765.0198	2487	SC-T3	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	PDCD1+ TPH and TFH cell	Unassigned	Cluster 6	Unassigned
S022_L1Q1_G23	Cluster 5	19590.4672	2436	SC-T6	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+GZMB+ T  cell	Unassigned	Cluster 6	Unassigned
S022_L1Q1_I03	Cluster 15	22208.9759	2894	SC-T6	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+GZMB+ T  cell	Unassigned	Cluster 10	Unassigned
S022_L1Q1_I05	Cluster 10	20864.9497	2652	SC-T2	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	regulatory T cell [BTC000222]	Unassigned	FOXP3+ regulatory T cell	Unassigned	Cluster 6	Unassigned
S022_L1Q1_I07	Cluster 10	14941.2398	1760	SC-T2	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	regulatory T cell [BTC000222]	Unassigned	FOXP3+ regulatory T cell	Unassigned	Cluster 3	Unassigned
S022_L1Q1_I09	Cluster 5	18862.5582	2315	SC-T6	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+GZMB+ T  cell	Unassigned	Cluster 6	Unassigned
S022_L1Q1_I11	Cluster 5	24433.2129	3256	SC-T6	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+GZMB+ T  cell	Unassigned	Cluster 6	Unassigned
S022_L1Q1_I13	Cluster 5	11505.3059	1277	SC-T4	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 6	Unassigned
S022_L1Q1_I15	Cluster 5	20263.5253	2559	SC-T6	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+GZMB+ T  cell	Unassigned	Cluster 6	Unassigned
S022_L1Q1_I17	Cluster 3	11653.7992	1329	SC-T1	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S022_L1Q1_I21	Cluster 5	16233.2103	1934	SC-T6	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+GZMB+ T  cell	Unassigned	Cluster 6	Unassigned
S022_L1Q1_I23	Cluster 5	16094.5718	1955	SC-T4	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 1	Unassigned
S022_L1Q1_K01	Cluster 5	14049.0944	1632	SC-T6	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+GZMB+ T  cell	Unassigned	Cluster 6	Unassigned
S022_L1Q1_K03	Cluster 5	18450.7403	2255	SC-T6	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+GZMB+ T  cell	Unassigned	Cluster 6	Unassigned
S022_L1Q1_K05	Cluster 5	12099.9193	1384	SC-T4	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 6	Unassigned
S022_L1Q1_K07	Cluster 10	32415.8249	4765	SC-T6	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+GZMB+ T  cell	Unassigned	Cluster 10	Unassigned
S022_L1Q1_K09	Cluster 5	11373.5241	1303	SC-T4	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 1	Unassigned
S022_L1Q1_K11	Cluster 3	21285.7754	2780	SC-T1	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 3	Unassigned
S022_L1Q1_K15	Cluster 5	13765.6893	1617	SC-T6	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+GZMB+ T  cell	Unassigned	Cluster 6	Unassigned
S022_L1Q1_K17	Cluster 10	21230.4401	2720	SC-T3	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	PDCD1+ TPH and TFH cell	Unassigned	Cluster 4	Unassigned
S022_L1Q1_K21	Cluster 3	10424.488	1137	SC-T1	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S022_L1Q1_K23	Cluster 15	30862.5252	4457	SC-T6	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+GZMB+ T  cell	Unassigned	Cluster 10	Unassigned
S022_L1Q1_M01	Cluster 2	11940.5586	1324	SC-M1	300-0482	Monocyte	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	IL1B+ pro-inflammatory monocyte	Cluster 1	Unassigned	Unassigned
S022_L1Q1_M09	Cluster 2	15487.2619	1867	SC-M3	300-0482	Monocyte	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	C1QA+ monocyte	Cluster 3	Unassigned	Unassigned
S022_L1Q1_M11	Cluster 2	14445.8356	1746	SC-M3	300-0482	Monocyte	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	C1QA+ monocyte	Cluster 1	Unassigned	Unassigned
S022_L1Q1_M15	Cluster 2	21001.0584	2705	SC-M1	300-0482	Monocyte	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	IL1B+ pro-inflammatory monocyte	Cluster 2	Unassigned	Unassigned
S022_L1Q1_M17	Cluster 2	17493.6514	2165	SC-M1	300-0482	Monocyte	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	IL1B+ pro-inflammatory monocyte	Cluster 2	Unassigned	Unassigned
S022_L1Q1_M19	Cluster 2	12770.4045	1480	SC-M4	300-0482	Monocyte	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	interferon (IFN) activated monocyte	Cluster 3	Unassigned	Unassigned
S022_L1Q1_M21	Cluster 2	26714.2049	3750	SC-M3	300-0482	Monocyte	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	C1QA+ monocyte	Cluster 3	Unassigned	Unassigned
S022_L1Q1_O03	Cluster 2	14294.7058	1666	SC-M1	300-0482	Monocyte	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	IL1B+ pro-inflammatory monocyte	Cluster 3	Unassigned	Unassigned
S022_L1Q1_O05	Cluster 2	17443.5805	2122	SC-M1	300-0482	Monocyte	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	IL1B+ pro-inflammatory monocyte	Cluster 2	Unassigned	Unassigned
S022_L1Q1_O09	Cluster 2	14458.1119	1694	SC-M1	300-0482	Monocyte	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	IL1B+ pro-inflammatory monocyte	Cluster 2	Unassigned	Unassigned
S022_L1Q1_O13	Cluster 2	15495.2381	1833	SC-M4	300-0482	Monocyte	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	interferon (IFN) activated monocyte	Cluster 3	Unassigned	Unassigned
S022_L1Q1_O15	Cluster 2	15837.7536	1914	SC-M1	300-0482	Monocyte	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	IL1B+ pro-inflammatory monocyte	Cluster 1	Unassigned	Unassigned
S022_L1Q1_O19	Cluster 2	13535.1137	1541	SC-M4	300-0482	Monocyte	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	interferon (IFN) activated monocyte	Cluster 3	Unassigned	Unassigned
S022_L1Q1_O23	Cluster 2	29416.0691	4207	SC-M1	300-0482	Monocyte	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	monocyte [BTC000019]	Unassigned	IL1B+ pro-inflammatory monocyte	Cluster 2	Unassigned	Unassigned
S022_L1Q2_A02	Cluster 9	23567.2434	3274	SC-B4	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	plasmablast [BTC000206]	Unassigned	plasmablast	Unassigned	Unassigned	Cluster 2
S022_L1Q2_A04	Cluster 1	14481.8503	1697	SC-B1	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 1
S022_L1Q2_A12	Cluster 9	21025.5331	2975	SC-B4	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	plasmablast [BTC000206]	Unassigned	plasmablast	Unassigned	Unassigned	Cluster 2
S022_L1Q2_A14	Cluster 1	16484.8603	2030	SC-B1	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 1
S022_L1Q2_A16	Cluster 1	13593.124	1584	SC-B1	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 1
S022_L1Q2_A18	Cluster 1	11287.7514	1296	SC-B2	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 1
S022_L1Q2_A22	Cluster 9	22514.0717	3097	SC-B4	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	plasmablast [BTC000206]	Unassigned	plasmablast	Unassigned	Unassigned	Cluster 2
S022_L1Q2_C06	Cluster 1	17589.1459	2221	SC-B2	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 5
S022_L1Q2_C08	Cluster 1	21117.0423	2709	SC-B1	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 1
S022_L1Q2_C14	Cluster 1	16646.4914	2046	SC-B1	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 1
S022_L1Q2_C16	Cluster 1	14563.9457	1728	SC-B1	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 1
S022_L1Q2_E06	Cluster 9	22718.0312	3157	SC-B4	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	plasmablast [BTC000206]	Unassigned	plasmablast	Unassigned	Unassigned	Cluster 2
S022_L1Q2_E08	Cluster 1	13910.5812	1624	SC-B1	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 1
S022_L1Q2_E10	Cluster 1	16076.8955	1949	SC-B1	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 1
S022_L1Q2_E12	Cluster 1	13533.8136	1553	SC-B1	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 1
S022_L1Q2_E16	Cluster 1	13976.1412	1623	SC-B1	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 1
S022_L1Q2_E18	Cluster 1	19701.1775	2557	SC-B1	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	naive B cell [BTC000209]	Unassigned	naïve IGHD+CD27– B cell	Unassigned	Unassigned	Cluster 1
S022_L1Q2_E24	Cluster 1	16674.5633	2063	SC-B2	300-0482	B cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	memory B cell [BTC000207]	Unassigned	IGHG3+CD27+ memory B cell	Unassigned	Unassigned	Cluster 5
S022_L1Q2_G02	Cluster 2	9746.5377	1057	SC-T4	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 1	Unassigned
S022_L1Q2_G04	Cluster 3	11759.663	1333	SC-T1	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	CCR7+ T cell	Unassigned	Cluster 2	Unassigned
S022_L1Q2_G08	Cluster 5	21702.0658	2791	SC-T6	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+GZMB+ T  cell	Unassigned	Cluster 6	Unassigned
S022_L1Q2_G10	Cluster 5	17323.5284	2103	SC-T4	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 6	Unassigned
S022_L1Q2_G12	Cluster 5	13892.0506	1611	SC-T6	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+GZMB+ T  cell	Unassigned	Cluster 6	Unassigned
S022_L1Q2_G14	Cluster 5	10711.3751	1192	SC-T4	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 6	Unassigned
S022_L1Q2_G16	Cluster 5	18129.1162	2238	SC-T6	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+GZMB+ T  cell	Unassigned	Cluster 6	Unassigned
S022_L1Q2_G18	Cluster 10	15269.42	1836	SC-T4	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
S022_L1Q2_G20	Cluster 3	15850.3153	1934	SC-T4	300-0482	T cell	Rheumatoid arthritis	S022	Rheumatoid arthritis	Synovial tissue [BTA000256]	T cell [BTC000016]	Unassigned	GZMK+ T cell	Unassigned	Cluster 3	Unassigned
